

<++++Let's have some FUN++++>
P00015731A0090|72 85|acetazolamide
P11787720A1313|59 63|acid
P11793614A0000|100 117|phosphodiesterase
P11793614A0000|120 129|inhibitor
P11800586A1090|97 105|molecule
P11810685A0147|115 116|r
P11816779A0343|61 76|chloramphenicol
P11819326A0000|22 26|role
P11821098A0269|21 22|S
P11831512A0468|239 246|lactose
P11831512A0468|45 46|d
P11831512A0468|120 127|lactose
P11836046A0549|239 247|estrogen
P11836046A0549|163 180|calcium carbonate
P11836046A0549|57 74|calcium carbonate
P11844812A0915|145 146|P
P11844812A0915|199 200|P
P11845547A0449|29 39|dobutamine
P11859400A0229|38 50|valacyclovir
P11862350T0000|38 51|carbamazepine
P11866130A0419|28 44|2-phenoxyethanol
P11867388A0502|237 238|P
P11881923A1256|78 79|P
P11883763A1062|27 29|Pu
P11884014A0665|63 65|GI
P11886473A0796|71 74|nod
P11886473A0796|43 46|nod
P11886473A0796|105 106|p
P11886473A0796|118 121|nod
P11886473A0796|93 96|nod
P11887803A1455|239 240|p
P11888867A0000|122 129|antigen
P11897449A0566|66 73|esmolol
P11902781A0550|33 35|H3
P11902781A0550|38 39|N
P11902781A0550|25 26|N
P11902781A0550|31 32|N
P11917061A0922|88 98|prednisone
P11917061A0922|171 172|P
P11911552A0776|27 37|quetiapine
P11902781A0550|18 19|N
P11886473A0796|83 84|p
P11886473A0796|130 131|p
P11879108A0719|22 23|A
P11876937A0261|13 14|U
P11872570T0000|29 32|NHS
P11872359A0000|62 69|cluster
P11866130A0419|13 23|benzocaine
P11863811A0259|79 81|Pr
P11861092A0730|259 262|HGS
P11859400A0229|209 218|acyclovir
P11849417A0900|154 155|P
P11844812A0915|126 127|P
P11840365A0949|87 88|P
P11834476A1187|94 97|min
P11831512A0468|159 166|lactose
P11831512A0468|12 16|pigs
P11815644A0081|66 69|bat
P11802601A0107|56 64|aldicarb
P11793614A0000|28 32|lack
P11791292A0193|41 52|application
P11787720A1313|91 92|P
P11787720A1313|140 141|P
P11783457A0000|155 159|drug
P11776922A0830|90 95|group
P11776922A0830|68 73|group
P11773921A0397|121 132|clopidogrel
P11773921A0397|259 270|clopidogrel
P11773921A0397|232 237|group
P11755894A0466|95 99|pain
P11741259A1233|88 92|drug
P11738404A0120|476 478|MS
P11730262A0874|224 232|fluoride
P11730182A0984|165 166|r
P11730182A0984|310 311|p
P11730182A0984|238 239|p
P11730182A0984|210 211|p
P11730182A0984|144 145|p
P11730182A0984|259 260|r
P11730182A0984|283 284|r
P11730182A0984|136 140|Acer
P11714429X0000|162 173|clopidogrel
P11714429X0000|175 186|ticlopidine
P11714429X0000|3 14|clopidogrel
P11697760A0000|113 116|PTH
P11686239A0464|57 58|T
P11677363A0775|110 111|P
P11677363A0775|87 89|PP
P11675912A0131|10 17|alcohol
P11606538A1002|40 43|Nrk
P11596838A1357|34 56|fluticasone propionate
P11595170A0582|36 41|NR5A2
P11593394A0000|120 121|D
P11589568A0744|93 97|Bub3
P11589568A0744|84 88|Bub1
P11580757A0304|150 152|MR
P11572388A0000|60 71|application
P11564893A1068|70 74|MGMT
P11564871A1184|165 169|Pols
P11561626A0197|314 317|air
P11561626A0197|233 236|Cd2
P11561626A0197|207 209|M3
P11560992A1184|150 157|antigen
P11560992A1184|106 110|MKK7
P11560992A1184|6 10|MKK7
P11560992A0651|95 99|MKK4
P11560992A0651|178 182|MKK4
P11559821A1315|92 95|CBP
P11552058A0833|114 120|buffer
P11543317A0203|118 120|Tb
P11538437A0568|224 225|B
P11538437A0568|268 269|A
P11538437A0568|95 96|B
P11538437A0568|266 267|B
P11538437A0568|143 144|B
P11535832A0586|73 78|HDAC9
P11532856A1175|86 89|HGF
P11517399A0858|226 227|T
P11517269A0472|0 5|Pitx2
P11516890A0236|59 70|venlafaxine
P11513579A0372|125 129|role
P11509673A0574|160 164|acid
P11509673A0574|173 182|14,15-EET
P11509266A0955|149 150|P
P11509266A0955|110 111|P
P11496617A0301|255 260|group
P11496617A0301|413 418|group
P11496617A0301|337 342|group
P11489597A0561|145 150|group
P11489597A0379|16 18|gd
P11486476A1512|43 52|myoglobin
P11486476A0147|147 156|myoglobin
P11486476A0147|262 265|ACS
P11486399A0000|46 55|etoposide
P11486399A0000|19 29|ifosfamide
P11486032A1261|85 90|RUNX1
P11480490A0443|81 83|Kr
P11472696A0387|30 33|CRP
P11472696A0387|93 96|ACS
P11471077A0382|76 80|TRA1
P11463834A0606|116 119|CR2
P11462004A0886|4 8|role
P11460035A0548|61 72|fluvoxamine
P11460035A0548|43 56|carbamazepine
P11451682A0190|110 121|mebendazole
P11450776T0000|23 28|group
P11448051A0093|188 196|mannitol
P11448051A0093|222 229|polymer
P11441952A0414|12 13|D
P11438838A0788|10 19|inhibitor
P11435517A0396|102 103|P
P11435428A0000|51 58|acetate
P11433014A0683|162 169|protein
P11432112A0000|85 86|h
P11428897A0318|96 103|protein
P11428276A0352|69 81|calcium salt
P11427329A1077|121 122|r
P11427329A1077|94 95|r
P11427329A1077|102 103|N
P11416132A1351|75 76|d
P11416012T0000|109 116|hormone
P11416012T0000|85 92|insulin
P11415952A0369|8 9|Q
P11410664A0963|261 265|MGMT
P11410664A0963|105 108|MPG
P11409425A0000|206 220|apolipoprotein
P11408099A0518|134 135|r
P11408099A0518|114 115|P
P11404312A0660|24 25|P
P11403719A1257|26 30|Gab1
P11392772A0182|4 15|application
P11384576A1132|49 59|interferon
P11384225A0634|83 90|protein
P11382701A0688|38 49|vasopressin
P11378898A0164|0 4|ORF1
P11376165T0000|0 3|FLP
P11376007A0584|298 309|microcystin
P11372882A1143|11 12|p
P11371343A0125|85 92|protein
P11371160A0854|56 64|tyrosine
P11371160A0193|130 138|molecule
P11369700A0074|153 154|H
P11369066A1210|42 56|corticosteroid
P11368363A0129|195 199|HBP1
P11367523A1684|30 33|C4A
P11367523A1684|38 41|C4B
P11360190A0178|83 84|S
P11358962A0344|10 15|Foxp2
P11350175A0173|78 87|isomerase
P11342479A0430|137 147|paclitaxel
P11340080A0096|72 76|Rad9
P11340080A0096|56 60|Rad1
P11333268A1521|60 63|Sos
P11333268A1521|212 215|Sos
P11331596A0710|87 94|protein
P11327858A0087|89 92|p53
P11323716A0413|19 24|RAD23
P11323411A0505|164 167|Tyr
P11323411A0505|80 84|Gab1
P11323411A0505|168 169|P
P11318608A0669|183 190|protein
P11314030A1264|111 114|Abl
P11313961A1323|116 119|p53
P11313342A0224|161 164|PAP
P11313249T0000|60 67|protein
P11311687A0231|168 171|RLS
P11311153T0000|94 105|angiotensin
P11310937A0548|119 122|CRP
P11309077A0953|30 34|Camp
P11303638A0559|66 67|p
P11292839A0531|193 196|TBP
P11289149A0658|129 136|protein
P11289149A0658|138 141|CBP
P11287654A0150|18 25|protein
P11287611A0802|61 64|PGD
P11287611A0802|104 116|troglitazone
P11287578A1311|111 118|protein
P11286833A0959|45 59|5-fluorouracil
P11285329A0682|46 47|P
P11285235A0466|9 14|TRPS1
P11283168A0738|166 167|d
P11282761A0531|24 34|L-arginine
P11282433T0000|18 28|paclitaxel
P11282088A0837|43 44|P
P11279086A1350|156 164|molecule
P11278848A1316|58 61|Sp1
P11278583A0873|214 218|Grb2
P11278583A0873|347 350|Sos
P11278563A0917|62 67|Grb14
P11278290A1220|8 13|Smad2
P11278286A1083|97 99|MR
P11278286A0456|37 39|MR
P11276426A0501|40 47|protein
P11274563T0000|33 35|MR
P11274357A0724|147 152|Cdc42
P11274357A0724|141 145|Rac1
P11271297T0000|75 77|FK
P11271297T0000|57 70|cyclosporin A
P11267679A0102|119 126|protein
P11266615A0258|4 11|protein
P11266227A0295|18 29|p-toluidine
P11266184A0000|111 113|MR
P11263664T0000|0 4|SIP1
P11263664A1085|23 27|SIP1
P11263622A0683|150 151|r
P11259503A0212|86 96|luciferase
P11258906A0743|71 75|Rec2
P11257870A0000|117 119|TF
P11256944A1144|34 38|ATF6
P11250942A0626|42 47|GRIP1
P11250942A0626|52 56|RAC3
P11248463A0187|29 37|pyruvate
P11248463A0187|20 27|lactate
P11246887A0000|24 28|role
P11246887A0000|153 157|PLTP
P11246887A0000|102 106|CETP
P11243494A0833|62 68|heroin
P11241356T0000|57 62|Smad3
P11241215A0566|82 93|thioredoxin
P11238882A0157|29 33|eIF6
P11238447A0524|42 48|eIF-5A
P11238105A0959|240 244|CD86
P11227484T0000|110 116|iodide
P11227039A0953|59 60|P
P11226752A0750|171 178|protein
P11224226A0000|15 31|chlordiazepoxide
P11223257A0404|150 154|PP2A
P11223186A1095|147 148|s
P11221845A1713|189 192|mlt
P11214354A1104|41 42|p
P11211759A0165|31 36|group
P11210401A0544|44 52|warfarin
P11210401A0544|32 39|digoxin
P11207308A0999|218 222|JAK3
P11207308A0999|142 147|STAT1
P11207308A0999|206 210|JAK1
P11207288A0897|44 47|ABR
P11207216A0719|34 41|protein
P11202434T0000|142 149|protein
P11197288A0855|24 37|metronidazole
P11196199T0000|167 170|p53
P11194183A0866|397 398|P
P11194101A0532|233 234|P
P11179689A0000|21 24|Sry
P11179687A1118|148 153|group
P11178765A0642|51 55|acid
P11178696A0301|129 130|g
P11176098A0342|17 21|pigs
P11171320A0894|30 37|protein
P11171320A0894|204 217|phenylalanine
P11170476A1546|31 38|peptide
P11169080T0000|52 55|Bok
P11168422A0248|79 88|phosphate
P11164078A0833|62 65|man
P11160896A0713|55 60|Smad2
P11160860A0662|83 87|role
P11160656A0000|180 184|lack
P11159363A1251|59 60|m
P11158295A0158|53 56|Csk
P11157334A1107|70 71|P
P11153302A0000|40 66|opioid receptor antagonist
P11152283A0223|25 29|role
P11152283A0223|33 36|NGF
P11150439A0701|74 76|CO
P11150315A1126|0 3|NGF
P11150315A0844|66 69|EGF
P11150315A0844|0 3|NGF
P11145590A0217|89 91|TG
P11139605A0811|214 217|Sp1
P11139469A0402|71 75|Ang1
P11137551A0437|25 29|acid
P11134822A0629|12 13|P
P11133830A0174|20 23|CD2
P11127200A1024|289 292|PTH
P11127200A1024|280 287|hormone
P11125363A0525|130 132|gm
P11123912A0306|113 120|peptide
P11119611A0428|19 26|protein
P11118438A0411|208 215|juglone
P11117263A0570|285 289|acid
P11117263A0570|201 205|acid
P11117263A0570|207 209|MA
P11117263A0570|171 175|acid
P11116084A0000|81 88|protein
P11114294A0075|195 199|CFTR
P11113692A0169|102 105|PDR
P11113199A0800|57 61|lack
P11113179A0541|28 32|SRC1
P11113179A0541|52 55|CBP
P11112700T0000|126 131|group
P11110040A0000|241 251|metabolite
P11108720A0124|0 4|S6K2
P11108548A0710|33 42|psoralens
P11108151A0560|0 3|Ang
P11105717A0123|9 11|T2
P11095248A0423|76 88|glycoprotein
P11094590A0617|139 142|VAP
P11094091A0000|133 147|serine residue
P11094073A0000|59 63|Vav3
P11083358A1071|12 15|SPT
P11082715X0001|223 231|caffeine
P11080796A0883|76 83|protein
P11078726X0000|40 43|p53
P11076860A0872|92 95|Kua
P11076860A0872|70 77|protein
P11075929A1657|81 85|acid
P11073163A0131|94 98|role
P11071924A0588|82 89|protein
P11069791A0226|231 233|mo
P11069788A0531|118 123|decay
P11069756A2618|427 430|PKL
P11069756A2618|76 79|CSK
P11069011A0224|120 127|mixture
P11069011A0224|176 185|pesticide
P11063127A0000|118 122|PP2A
P11062705A0658|28 32|role
P11059786A0682|161 163|PI
P11059777A0813|203 204|L
P11058406A0447|18 21|SLN
P11058119A0957|98 101|XPA
P11056019A0926|0 4|MED1
P11054970A0282|86 89|NF1
P11050168A1185|164 171|protein
P11049241A0659|208 209|p
P11046517A0619|62 63|Z
P11046148A0716|15 18|Lyn
P11044097T0000|20 27|protein
P11044097A0422|27 30|HMG
P11038366A1417|58 62|PP2A
P11037823A1134|175 178|CHL
P11030476A0685|60 65|water
P11028131A1374|82 84|MS
P11027724A0335|42 48|serine
P11027289A0321|114 115|S
P11027289A0000|57 58|s
P11027280A0536|90 95|Smad3
P11024300A1579|88 99|polypeptide
P11024182A0781|68 70|AR
P11023934A0855|11 14|chi
P11023934A0855|69 72|chi
P11016954A0438|0 4|AGO1
P11012680A1020|44 52|neomycin
P11012680A1020|35 42|peptide
P11012680A0676|88 97|inhibitor
P11012680A0676|26 30|FGF1
P11012680A0676|101 104|Src
P11007961A0930|176 180|drug
P11007954A0170|44 48|Grb2
P11007954A0170|160 168|tyrosine
P11007954A0170|33 40|protein
P11007949A1607|76 80|PTEN
P11006283A1180|113 120|protein
P11005831A0242|43 47|bZIP
P11003669A0000|67 74|protein
P11003652A0961|139 143|role
P11003471A1149|81 86|group
P11000250A0200|63 68|TRADD
P10997904A1258|45 50|patch
P10987301A0332|99 103|GPCR
P10983979T0000|93 97|step
P10983857A0923|8 19|application
P10982391A0425|29 36|leucine
P10972980A0295|74 94|phosphatidylinositol
P10972980A0295|129 130|B
P10972980A0295|96 98|PI
P10965905A1618|310 311|s
P10965135A0735|79 82|ras
P10964995A2152|65 67|ER
P10963735A0651|46 51|thiol
P10963735A0651|35 44|vitamin E
P10962564A0883|116 123|thymine
P10959838A0153|18 22|Fhit
P10958456A0529|93 95|Cp
P10958456A0529|115 118|F10
P10955913A0827|60 68|heparins
P10954093A0000|29 32|Pat
P10951848A0230|18 34|cyclophosphamide
P10945010T0001|12 24|daunorubicin
P10943891A1062|189 190|s
P10940892A0573|95 102|D4Mit89
P10940562T0000|132 136|step
P10939785A0540|221 222|s
P10939030A0986|81 82|p
P10938109A1361|61 65|role
P10938109A1361|79 86|insulin
P10934640A1114|14 15|p
P10933732A0000|172 182|interferon
P10933728A1398|154 158|CBF2
P10932679A0049|159 163|role
P10932679A0049|85 89|role
P10931927A0655|28 29|A
P10924061A0588|41 44|min
P10920906A0759|73 76|STS
P10918596A0000|114 122|molecule
P10913304A0894|46 50|Fli1
P10910908A0767|107 110|EPO
P10908478A0717|114 124|quetiapine
P10905352A0000|163 170|protein
P10897973T0001|83 87|role
P10896859A0000|154 165|aldosterone
P10896859A0000|170 178|cortisol
P10895851A0696|102 103|g
P10895417A0000|166 174|morphine
P10894149T0000|51 58|protein
P10891489A0152|155 159|role
P10891441A0871|106 126|phosphatidylinositol
P10891441A0871|65 69|Grb2
P10891441A0871|71 75|Sos1
P10891286A0000|72 76|role
P10882163A1077|210 220|exemestane
P10882163A1077|105 122|aminoglutethimide
P10882163A1077|77 87|exemestane
P10880702A0966|73 84|apomorphine
P10880702A0966|58 69|amphetamine
P10878398A0542|121 124|Epo
P10878398A0542|26 29|Epo
P10878398A0542|137 142|group
P10873388A0623|34 39|probe
P10872851A0714|92 93|P
P10872831A0000|85 89|EPOR
P10872535A0000|22 26|role
P10871045A1221|241 253|acetaldehyde
P10865838A0000|52 59|agonist
P10865422A0138|41 51|hemoglobin
P10865422A0138|36 38|SF
P10863048A0000|167 168|s
P10861906A1479|107 111|CCL1
P10861906A1479|97 102|KIN28
P10861906A0999|108 112|IME2
P10861906A0999|99 103|IME1
P10861906A0999|185 189|IME2
P10861086A0259|116 119|Csk
P10860846A0480|161 164|AP2
P10860846A0480|185 189|role
P10860131A0847|82 86|drug
P10857262A0186|4 11|protein
P10854004A0788|111 124|acetylcholine
P10854004A0788|80 93|noradrenaline
P10852485A0477|16 18|CS
P10852460A0170|98 114|alpha-tocopherol
P10851089A1248|6 9|SAG
P10848993A0000|87 96|rifamycin
P10841537A0669|37 41|RPB5
P10839593A0000|110 121|fluconazole
P10839470A1148|201 202|p
P10836786A0516|29 33|role
P10835355A0225|174 178|SSA3
P10834781A0693|172 173|P
P10834781A0693|21 26|group
P10833461A0603|51 54|PAC
P10831972A1091|119 126|danazol
P10828022A0877|84 87|Shb
P10825200T0000|102 106|Jak3
P10823837A1213|134 139|group
P10817754T0000|8 12|Igf2
P10817754T0000|0 3|H19
P10815410A0000|140 143|TNF
P10811908A0938|118 121|Ser
P10811804A0000|18 25|protein
P10809233A0606|122 125|H11
P10805737T0000|66 70|eIF5
P10799595A1454|19 22|CDP
P10799501A1391|105 110|Cdc42
P10797125A0000|291 294|min
P10797125A0000|238 241|min
P10792583A0000|116 123|hormone
P10790390X0000|102 105|mod
P10786671A0182|18 22|step
P10781552A0000|138 139|H
P10780883T0000|46 56|interferon
P10779329T0000|26 29|Src
P10778757A0000|120 123|Mn1
P10778740A1493|174 178|HIS3
P10777586A1022|66 69|Sp1
P10773951A0000|17 18|A
P10773458A0000|27 31|role
P10770065A0264|91 92|R
P10770041A0731|123 124|p
P10767338T0000|48 54|ATP2C1
P10765095A0308|146 160|metoclopramide
P10760109A1050|105 106|P
P10759693A0201|159 169|antagonist
P10759693A0201|285 293|warfarin
P10759693A0201|171 181|cimetidine
P10756225A1464|66 69|CRS
P10753553T0000|54 63|lidocaine
P10747053A1102|91 95|role
P10744026A0000|59 67|fructose
P10743719A0223|10 12|dg
P10742114A0486|57 59|pu
P10733591A0533|111 116|Cdc42
P10733569A0364|22 26|HSF1
P10727428A0000|130 134|role
P10727428A0000|32 39|protein
P10727413A1244|278 285|insulin
P10722661A0406|16 20|CYC2
P10722661A0146|0 4|CYC2
P10722063A0328|70 77|mixture
P10721717A0676|9 13|FGD1
P10721714A1087|52 55|Sp1
P10721704X0000|155 161|Elavl1
P10715602A0149|210 220|surfactant
P10715602A0149|145 155|surfactant
P10715325A0834|170 174|EIN2
P10713161A0985|50 52|ts
P10708769A0433|50 52|ER
P10708243A0000|115 119|role
P10706887A0281|40 43|ALK
P10706475A0644|54 57|DSP
P10704975A0479|72 75|min
P10704338A0354|90 97|protein
P10704338A0354|41 45|role
P10704283A0649a|14 16|Mb
P10704196A1051|161 165|side
P10703633A0747|182 185|min
P10703633A0747|94 95|p
P10703633A0747|72 76|acid
P10703633A0747|236 237|p
P10699653A0967|125 132|ethanol
P10692374A1873|128 131|PAN
P10688663A0207|163 169|TFIIIA
P10684941A0722|132 136|side
P10684304A1242|26 27|L
P10684069A0508|24 27|MIP
P10684069A0508|154 167|aminophylline
P10683989A0251|143 144|P
P10683259A0774|133 139|biotin
P10683244A0939|57 64|mixture
P10682570A0453|0 3|LPO
P10681588A0899b|52 54|C6
P10681520A0525|134 139|Cdc42
P10681520A0525|126 129|Rho
P10679922A1110|71 75|ING1
P10679649A0311|117 133|cyclophosphamide
P10679065A1217|105 108|BCR
P10677297A0933|150 157|protein
P10677214A2842|78 79|H
P10677214A1045|63 64|k
P10675331A0600|165 170|Stat3
P10675331A0600|81 84|Shc
P10675331A0600|32 45|isoproterenol
P10673426A0168|13 14|R
P10671519A0641|197 208|polypeptide
P10666238A1322|71 78|protein
P10662550A0679|6 10|SOX8
P10660676A0000|19 22|cyc
P10660304A0522|77 82|STAT3
P10660069A0819|72 76|PBS2
P10658445A0208|20 25|group
P10655164A0546|165 166|p
P10655164A0546|153 154|H
P10653400A0000|93 98|donor
P10651805A1600|227 239|methotrexate
P10648619A0000|63 70|protein
P10647859A0000|353 354|P
P10647817T0000|88 92|PTA1
P10647177A0599|162 166|base
P10645921A1320|52 53|P
P10645921A1320|136 137|P
P10644753A0725|91 106|heparan sulfate
P10644753A0725|80 87|sulfate
P10644414T0000|42 60|20-hydroxyecdysone
P10642524A0156|65 66|N
P10642524A0156|140 143|TPR
P10637337A0545|44 48|TFA1
P10630630A0614|34 43|inhibitor
P10628971A1165|103 107|RIC1
P10628750A0298|182 185|Rel
P10627532A0739|25 26|R
P10624787A0432|253 254|P
P10624787A0432|134 135|P
P10623758A0947|88 106|beta-galactosidase
P10620335A0749|20 23|AHR
P10617126A1005|192 195|CA1
P10617126A1005|123 126|CA1
P10617126A1005|200 203|CA3
P10614857A0584|216 217|P
P10614857A0584|192 193|P
P10611320A0816|83 87|CAK1
P10611242A0541|116 120|Spt3
P10611235A1927|27 31|step
P10608053A0923|184 185|p
P10604945A0731|92 99|ethanol
P10603349A1667|82 86|Myf5
P10602516A0182|13 16|SLK
P10602516A0182|78 85|protein
P10601606A0152|96 97|h
P10601344A1653|190 194|Rac1
P10601344A1653|207 212|Cdc42
P10601290A0742|89 96|peptide
P10600171A1432|93 97|USF1
P10585491A0945|420 429|cytokinin
P10585480A0157|48 51|Sos
P10584138T0001|20 30|amifostine
P10572087A0326|75 80|FANCC
P10570996A1213|220 227|insulin
P10568744A0728|135 139|role
P10568275A0679|4 8|role
P10567430A0785|212 216|GRK5
P10567430A0785|220 224|GRK6
P10564479A0384|135 142|formate
P10564479A0384|177 184|formate
P10564280A0140|52 59|protein
P10561095A2141|49 54|group
P10560997A1072|11 12|S
P10559364A0846|45 46|h
P10559324A0716|24 26|Ad
P10557308A0000|49 56|protein
P10557072A1218|27 31|ULK2
P10556751A0758|73 77|lack
P10556028A0292|125 129|Prep
P10554946A0082|28 46|clomiphene citrate
P10554946A0082|111 121|raloxifene
P10549354A1782|16 19|APC
P10548622A0906|223 227|pain
P10544089A1208|148 150|MP
P10544089A1208|172 174|CR
P10544088A0308|56 59|CAT
P10544037A0617|93 97|FZD9
P10544037A0617|114 119|FZD10
P10544037A0617|85 89|FZD4
P10544037A0617|128 132|FZD9
P10543270A1054|93 94|p
P10542281A0382|112 124|proteoglycan
P10542237A0357|134 152|lipopolysaccharide
P10541865A1301|38 44|CDKN2A
P10541432A0185|64 67|EGF
P10536125A0093|63 70|prodrug
P10534402A0126|64 71|protein
P10534048A0297|137 140|ACF
P10529198A0068|101 104|Sos
P10526670A1828|34 43|inhibitor
P10526670A0236|76 96|phosphatidylinositol
P10525413A1408|69 73|LIM2
P10523640A0367|79 87|tyrosine
P10523640A0367|187 192|Stat3
P10521796A0872|195 197|IM
P10521796A0872|131 133|IM
P10521509A0000|210 214|RGS7
P10517672A1417|130 134|CTF1
P10517672A1417|136 139|NF1
P10516878T0000|49 58|pergolide
P10506143A0610|213 218|MEKK1
P10505694A0739|120 121|r
P10505694A0739|103 106|min
P10502216A0289|87 94|heparin
P10501965A0879|158 163|Gpr31
P10499357A0439|71 73|FR
P10497874A0925|111 127|tyrosine residue
P10496303A1968|53 67|valganciclovir
P10496303A1968|156 167|ganciclovir
P10493876A0000|244 245|N
P10493876A0000|248 259|amino group
P10493876A0000|513 514|g
P10493876A0000|320 321|g
P10493876A0000|195 196|g
P10492169A0939|5 12|cluster
P10492127A0914|149 152|min
P10490843A0159|0 4|BCL6
P10490826T0000|88 89|t
P10490609A0413|178 185|guanine
P10490604A0601|70 73|Lck
P10489680A0927|95 96|P
P10489680A0927|16 19|MPO
P10488337T0000|26 35|chaperone
P10482620A1009|103 109|Stat5a
P10480937A0000|215 217|Li
P10477597A0126|0 5|TRAF2
P10477583A0000a|38 41|BCR
P10476970A0542|60 67|protein
P10471696A0734|120 123|ACS
P10471696A0734|43 47|role
P10471696A0734|16 20|SAS4
P10471587A0239|289 300|amoxicillin
P10469656T0000|121 125|MSK1
P10469174A0678|177 181|MBF1
P10464310A0218|38 41|Crk
P10460171A0842|117 121|step
P10457075A1198|79 80|P
P10457075A1198|126 128|Rn
P10457075A1198|153 154|P
P10454568A0815|202 210|ecdysone
P10454550A0960|50 54|Reg1
P10453006A0478|59 64|PSMB9
P10451209A0000|50 61|misoprostol
P10448440T0020|4 8|role
P10447593A0144|68 71|SP6
P10446912A0883|132 135|Sp1
P10446912A0883|140 143|Sp3
P10446149A0809|158 162|Rin1
P10444597A0586|74 81|ethanol
P10440923A0684|47 48|h
P10438941A1197|58 59|B
P10430944A1298|45 49|role
P10426450A1458|22 24|SA
P10425094A1006|48 49|s
P10419521A0136|40 43|ELL
P10407269A0000b|62 67|cdc14
P10407269A0000a|81 84|arm
P10407184A0520|183 184|h
P10407184A0520|124 127|CAT
P10407184A0520|293 295|rh
P10406465A0589|27 30|VDR
P10406462A1127|41 45|role
P10406459A0000|116 125|forskolin
P10403690A0000|288 298|ifosfamide
P10403690A0000|441 450|cisplatin
P10402022A0432|43 44|s
P10400794T0000|89 96|protein
P10400757A1498|45 50|CXCR4
P10400757A1498|196 201|CXCR4
P10400712A0577|283 284|L
P10399136A0389|21 32|cinnarizine
P10395827A1297|61 65|coil
P10392669A0935|667 677|omeprazole
P10392669A0935|439 449|ranitidine
P10392669A0935|683 695|pantoprazole
P10391903T0000|0 4|Gab2
P10385915A1341|145 149|side
P10384129A0000|94 97|CD4
P10383966A0000|62 75|peptidoglycan
P10381570A1355|87 91|role
P10381257A0000|21 28|protein
P10380878A0542|54 58|Bin1
P10377438A0647|15 22|protein
P10370778A0000|230 239|letrozole
P10370675A0649|54 57|HCC
P10367646A0569|242 243|P
P10367646A0569|233 240|protein
P10367385A0000|61 74|beta-carotene
P10367385A0000|86 90|food
P10366503A1506|66 73|peptide
P10366446A0893|52 59|protein
P10364425A0610|62 70|tyrosine
P10364163A0092|91 100|phosphate
P10364163A0092|0 3|Hrs
P10362652A1456|110 113|EGF
P10362652A1456|18 21|Sos
P10360947A1113|200 207|protein
P10359664A0579|45 51|MARCKS
P10359014A1077|67 76|threonine
P10358138A0672|158 161|SAP
P10353880A0257|120 121|P
P10347839A0434|28 31|dog
P10347203A0832|26 31|STAT3
P10347144A0516|25 32|protein
P10334888A0960|113 116|min
P10333481A1102|39 43|UCP2
P10333481A1102|156 158|nt
P10332733A0000|29 36|protein
P10331646A0595|325 332|protein
P10331646A0595|65 69|ART5
P10330396A0387|51 55|CRM1
P10330159A1258|6 9|VDR
P10330134A0765|29 33|RFX2
P10330134A0765|23 27|RFX1
P10330134A0765|39 43|RFX3
P10329736A1106|79 82|Shc
P10329736A1106|64 68|SHP2
P10328351A0443|75 76|d
P10328351A0443|89 90|d
P10326654A0351|291 296|group
P10325413A1211|202 206|base
P10323225A0244|14 22|ammonium
P10323225A0244|40 44|NADH
P10322022A0263|25 27|aa
P10319327A1237|137 140|SRF
P10318806A0918|286 289|Crk
P10318806A0918|310 314|role
P10318806A0476|58 62|role
P10231026A0253|22 26|Elk1
P10228795A0842|96 99|EFS
P10228009A0600|93 98|TRAF6
P10221820A0902|56 59|AMT
P10221820A0902|157 160|AMT
P10216161A1530|192 194|bd
P10216052A1682|87 88|r
P10207090A0801|105 113|molecule
P10206152A1024|130 143|messenger RNA
P10206152A1024|36 43|protein
P10205933A0699|69 72|ear
P10201468A0297|31 38|insulin
P10198061A0339|121 124|Ran
P10198056A0000|80 108|glycosylphosphatidylinositol
P10197985A0145|124 126|ss
P10196248A0482|67 69|nt
P10196248A0482|71 73|nt
P10194769A0146|135 139|PREB
P10194769A0146|141 144|PRL
P10194225A1132|65 72|alanine
P10101744A0917|44 45|h
P10101198A0946|147 154|protein
P10099247A1051|215 217|MB
P10091594A0284|167 174|epitope
P10085605A0239|59 66|estriol
P10085140A1004|50 54|role
P10082137A0262|71 81|interferon
P10074282A0236|13 17|side
P10074282A0236|92 106|methylene blue
P10066815T0000|38 49|phosphatase
P10065684A0916|216 217|L
P10065684A0916|184 185|p
P10063739A0601|192 195|EVL
P10049357A0608|24 27|Ski
P10037681A0494|49 53|PLD1
P10036191A0000|146 150|Mitf
P10036191A0000|130 134|TFEB
P10036191A0000|136 140|TFEC
P10026211A0136|118 125|protein
P10025050A1052|105 117|lansoprazole
P10025050A1052|91 101|omeprazole
P10024882A0541|83 86|CTD
P10022978A1261|122 126|base
P10022880A0000|109 117|effector
P10022875A1265|109 112|Pak
P10022867A1069b|148 155|adenine
P10022867A1069a|148 155|adenine
P09990507A0763|46 50|Pop1
P09990507A0000|80 82|E3
P09987634A1265|15 18|PRK
P09971776A0838|251 258|protein
P09952425A0893|226 230|role
P09952425A0893|8 13|group
P09936001T0000|59 61|Ga
P09933848A1008|72 76|drug
P09933848A1008|64 68|role
P09931191A0434|50 53|Con
P09927449A0421|101 105|CLN1
P09925777A1195|89 92|Rev
P09924987A0000|28 31|PAP
P09924987A0000|19 26|protein
P09922230A1482|45 49|CAP1
P09916809A0405|98 105|protein
P09915860A0119|0 3|Sp1
P09913308T0000|61 62|J
